user;message;in_msg_id
319380693;;585
319380693;Давайте лучше мою коронную;584
255425921;вы подготовили полковника?;583
255425921;так чё там;582
255425921;Голубиной;581
255425921;По почте объясни;580
319380693;По вк;579
319380693;Я заебуст щас объяснять;578
319380693;Давайте при встрече лучше;577
255425921;?;576
255425921;а какие там идут;575
319380693;Так что можно;574
319380693;И если на четверых то это 15;573
319380693;60 рублей всего лишь;572
319380693;Хотя э;571
319380693;Нахуй идут;570
319380693;Там тип чтобы изменить состав пиццы надо заплатить;569
319380693;Додо пидоры;568
319380693;А блять;567
319380693;Нужно 3 штуки выбрать;566
319380693;Какие пиццы хотите?;565
473379248;ок;564
319380693;275 рублей и 6 кусочков каждому;563
319380693;Что выгоднее всего это последний вариант;562
319380693;Вообще я думаю;561
319380693;Ну тип;560
319380693;В средней 8;559
319380693;В маленькой пицце 6 кусков;558
319380693;4,5 кусочка каждому;557
319380693;Если четверым жрать то по 200 рублей;556
319380693;Можно первое;555
319380693;Из этих трëх;554
319380693;;553
319380693;А какое комбо заказываем?;552
319380693;Так мужики;551
255425921;ура;550
255425921;да;549
255425921;вссё;548
255425921;а;547
473379248;Что не игрем;546
255425921;чё;545
473379248;Написали;544
473379248;В беседе даже;543
473379248;Нет;542
473379248;;541
255425921;играем же;540
255425921;7-8;539
255425921;22;538
473379248;Ниче не играем;537
473379248;Че;536
255425921;это играем);535
255425921;;534
319380693;😳;533
319380693;😊;532
255425921;;531
319380693;));530
255425921;хайп;529
255425921;ххапхпа;528
473379248;С армией;527
473379248;Пел;526
473379248;Перед Кремлём;525
473379248;На Красной площади;524
473379248;Так он блятт;523
255425921;справочник не надо писать;522
255425921;разбомбят;521
255425921;всё;520
255425921;ахуенно же;519
255425921;бля;518
319380693;базированный ссамый;517
255425921;базированная война;516
319380693;тиль линдерман вообще на русском пел;515
255425921;да;514
319380693;ну база в смысле базированная группа;513
255425921;база;512
473379248;Да;511
319380693;это немецкая база;510
473379248;Духаст;509
473379248;Блять;508
473379248;Рамштайн;507
473379248;Какой нахуй;506
473379248;Че блять;505
473379248;Ахаххахахахаха;504
255425921;ЕГЭ не сдаëм;503
255425921;Всë;502
255425921;;501
255425921;Как в оригинале;500
255425921;Вот прям классно играем;499
255425921;Беспонтового;498
255425921;Ну кстати на счет пирожка;497
255425921;Но доиграл;496
255425921;Обосрался;495
255425921;Вышел;494
255425921;Как мужик;493
255425921;Ну ладно;492
255425921;Спрошу;491
255425921;Наверное;490
319380693;я послушать хочу;489
319380693;а тебя записали?;488
255425921;А мне вообще блять не нравится;487
255425921;Ну кто-то норм говорит;486
319380693;хуёво!;485
319380693;бляя;484
255425921;Но сыграл;483
255425921;Налажал;482
255425921;Наладал;481
255425921;Не мог справиться;480
255425921;Дрожал пиздец;479
255425921;Я чисто еле стоял там;478
255425921;Ну и хуйня;477
255425921;Бля;476
255425921;Захлопали круто все;475
255425921;Отыграла;474
255425921;Но так норм все;473
255425921;Да;472
319380693;бля жалко челиху;471
255425921;;470
255425921;И все захлопали;469
255425921;Сказала извините;468
255425921;Налажала;467
255425921;Пять секунд поиграла;466
255425921;Женщина вышла;465
255425921;Тут ржака;464
255425921;;463
319380693;Просто взорвали зал;462
319380693;СЮДААААА;461
255425921;аааааааааааааааааааааааааа;460
255425921;да чё так херова;459
255425921;аааааааааааа;458
319380693;и пойду срать;457
319380693;ебану;456
255425921;имьа;455
319380693;пару примеров;454
319380693;и похуй;453
319380693;я чисто для себя пару номеров сделаю;452
319380693;у нас даже домашку не проверяют на математике;451
255425921;иге ебаное задала на завтра вроде;450
255425921;мразь;449
255425921;маринка;448
319380693;йоооу;447
319380693;я нихуя не делаю;446
255425921;а ещё домашек куча;445
255425921;прям вырубает;444
255425921;жесть спать хочется;443
255425921;да что это такое;442
255425921;блен;441
255425921;чисто на чилле сидишь в закулисье;440
255425921;в школе играть;439
255425921;кайф;438
255425921;блин;437
319380693;можно попросить с урока снять;436
255425921;да;435
319380693;на окнах заебашим;434
319380693;так что сука нельзя обосраться;433
255425921;хайп;432
319380693;по идее;431
319380693;теперь;430
319380693;мы там почти первые;429
319380693;уже;428
255425921;надо попросить, чтоб нас втроём поставили пораньше;427
319380693;сука вы только отрепетируйте дома;426
319380693;и на максималычах домой;425
319380693;чисто сыграю с вами;424
319380693;и так на курсы опоздаю;423
319380693;у меня времени нет;422
319380693;лан шучу;421
319380693;🤪;420
319380693;ебанём;419
319380693;мы с ним вдвоём опять нирвану;418
319380693;ахаха;417
255425921;!;416
255425921;ура;415
255425921;хпахпахпах;414
319380693;АХХАХА;413
319380693;Я ЕГО УГОВОРИЛ;412
319380693;ТОЖЕ ПЕТЬ БУДЕТ;411
319380693;РАХАТ ПРИДЁТ;410
319380693;А;409
319380693;ИМБ;408
319380693;кайф её петь;407
319380693;вот реально;406
319380693;бля ну песня имба;405
255425921;;404
319380693;вы не запутайтесь в проигрыше после припева только;403
319380693;я выучил пирожок;402
319380693;всё бля;401
473379248;Ок;400
319380693;главное что не хуй;399
319380693;да пофиг;398
473379248;);397
